Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Year
"Wichita Urology Group, PA (“WUG”) ",KS,Healthcare Provider,1493,08/03/2023,Hacking/IT Incident,Network Server,No,2023
"Northeast Surgical Group, PC",MI,Healthcare Provider,15298,06/03/2023,Hacking/IT Incident,Network Server,No,2023
Codman Square Health Center,MA,Healthcare Provider,10161,01/03/2023,Hacking/IT Incident,Network Server,No,2023
"Cerebral, Inc",DE,Business Associate,3179835,01/03/2023,Unauthorized Access/Disclosure,Network Server,Yes,2023
Clarity Child Guidance Center,TX,Health Plan,531,28/02/2023,Unauthorized Access/Disclosure,Email,No,2023
Sentara Healthcare,VA,Healthcare Provider,741,24/02/2023,Unauthorized Access/Disclosure,Network Server,Yes,2023
Asante,OR,Healthcare Provider,8834,24/02/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,2023
Aloha Nursing Rehab Centre,HI,Healthcare Provider,20216,24/02/2023,Hacking/IT Incident,Network Server,No,2023
"eMDs, Inc.",TX,Business Associate,625,24/02/2023,Hacking/IT Incident,Network Server,Yes,2023
White Bird Clinic,OR,Healthcare Provider,584,23/02/2023,Unauthorized Access/Disclosure,Email,No,2023
Lawrence General Hospital,MA,Healthcare Provider,76571,23/02/2023,Hacking/IT Incident,Network Server,Yes,2023
Henrico Doctors Hospital,VA,Healthcare Provider,990,21/02/2023,Unauthorized Access/Disclosure,Email,No,2023
Sharp Healthcare,CA,Healthcare Provider,62777,17/02/2023,Hacking/IT Incident,Network Server,No,2023
West Cecil Health Center,MD,Healthcare Provider,1136,17/02/2023,Unauthorized Access/Disclosure,Network Server,Yes,2023
Jackson Lewis P.C. ,CA,Business Associate,986,17/02/2023,Theft,Other Portable Electronic Device,Yes,2023
Troy Roeder DDS PC ,IL,Healthcare Provider,500,17/02/2023,Unauthorized Access/Disclosure,Desktop Computer,No,2023
San Juan Regional Medical Center,NM,Healthcare Provider,8500,15/02/2023,Hacking/IT Incident,Network Server,Yes,2023
Integrative Dentistry,WA,Healthcare Provider,2281,14/02/2023,Hacking/IT Incident,Network Server,No,2023
"Reventics, LLC",FL,Business Associate,250918,10/02/2023,Hacking/IT Incident,Network Server,Yes,2023
"CentraState Healthcare System, Inc.",NJ,Healthcare Provider,617901,10/02/2023,Hacking/IT Incident,Network Server,No,2023
Intelligent Business Solutions ,NC,Business Associate,11595,10/02/2023,Hacking/IT Incident,Network Server,Yes,2023
Compass Behavioral Health,KS,Healthcare Provider,537,10/02/2023,Hacking/IT Incident,Email,No,2023
Highmark Inc,PA,Business Associate,36600,10/02/2023,Hacking/IT Incident,Email,Yes,2023
Evergreen Treatment Services,WA,Healthcare Provider,21325,10/02/2023,Hacking/IT Incident,Network Server,No,2023
Highmark Inc,PA,Health Plan,239039,10/02/2023,Hacking/IT Incident,Email,No,2023
Wentworth Health Partners Garrison Women's Health,NH,Healthcare Provider,4158,10/02/2023,Hacking/IT Incident,Electronic Medical Record,Yes,2023
CVS Specialty,RI,Healthcare Provider,740,10/02/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,2023
Nelson Pharmacy Consulting Services PLC,IA,Healthcare Provider,500,10/02/2023,Hacking/IT Incident,"Desktop Computer, Network Server",No,2023
"Cheyenne Radiology Group & MRI, P.C.",WY,Healthcare Provider,500,09/02/2023,Hacking/IT Incident,Network Server,No,2023
"Tattnall County, Georgia",GA,Healthcare Provider,1337,09/02/2023,Hacking/IT Incident,Network Server,No,2023
Health Benefit Plan of Bridgewater-Raritan Regional School District,NJ,Health Plan,3909,09/02/2023,Hacking/IT Incident,Network Server,No,2023
"90 Degree Benefits, Inc.",WI,Business Associate,175000,08/02/2023,Hacking/IT Incident,Network Server,Yes,2023
"NR Pennsylvania Associates, LLC",PA,Healthcare Provider,14335,07/02/2023,Hacking/IT Incident,Network Server,No,2023
"NR Connecticut, LLC",CT,Healthcare Provider,2160,07/02/2023,Hacking/IT Incident,Network Server,No,2023
Teijin Automotive Technologies Welfare Plan,MI,Health Plan,25464,06/02/2023,Hacking/IT Incident,Network Server,No,2023
"Skin MD, PLLC",TN,Healthcare Provider,7558,06/02/2023,Improper Disposal,Paper/Films,No,2023
"Vitra Health, Inc.",MA,Healthcare Provider,1618,06/02/2023,Hacking/IT Incident,Email,No,2023
"Center for Autism and Related Disorders, LLC",TX,Healthcare Provider,634,04/02/2023,Unauthorized Access/Disclosure,Paper/Films,No,2023
"Rise Interactive Media & Analytics, LLC",IL,Business Associate,54509,03/02/2023,Hacking/IT Incident,Network Server,Yes,2023
Cardiovascular Associates,AL,Healthcare Provider,441640,03/02/2023,Hacking/IT Incident,Network Server,No,2023
Southeast Colorado Hospital District,CO,Healthcare Provider,1435,03/02/2023,Hacking/IT Incident,Email,No,2023
Hospice of the Valley,AZ,Healthcare Provider,3840,03/02/2023,Hacking/IT Incident,Email,No,2023
"UT Specialty Dental Services, PLLC d/b/a Aspire Surgical",UT,Healthcare Provider,5327,02/02/2023,Hacking/IT Incident,Network Server,No,2023
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below",AZ,Healthcare Provider,10978,01/02/2023,Hacking/IT Incident,Network Server,No,2023
"Regal Medical Group,Inc.,Lakeside Medical Organization,A Medical Group,Inc.,ADOC Acquisition Co.,A Medical Group Inc.&Greater Covina Medical Group,Inc",CA,Healthcare Provider,3300638,01/02/2023,Hacking/IT Incident,Network Server,No,2023
Institute for Hormonal Balance,TX,Healthcare Provider,597,31/01/2023,Theft,"Other, Paper/Films",No,2023
Brooks Rehabilitation,FL,Healthcare Provider,1554,31/01/2023,Unauthorized Access/Disclosure,Other,No,2023
DotHouse Health Incorporated,MA,Healthcare Provider,10000,27/01/2023,Hacking/IT Incident,Network Server,No,2023
"Benefit Administrative Systems, LLC (BAS)",IL,Business Associate,6465,27/01/2023,Hacking/IT Incident,Network Server,Yes,2023
Cedar Oaks Surgery Center ,MO,Healthcare Provider,794,27/01/2023,Hacking/IT Incident,Email,No,2023
Stroke Scan Inc,TX,Healthcare Provider,50000,27/01/2023,Hacking/IT Incident,Desktop Computer,No,2023
Minuteman Senior Services,MA,Healthcare Provider,500,27/01/2023,Hacking/IT Incident,Email,No,2023
Hayward Sisters Hospital d/b/a St. Rose Hospital ,CA,Healthcare Provider,501,27/01/2023,Hacking/IT Incident,Network Server,No,2023
Howard Memorial Hospital,AR,Healthcare Provider,53668,27/01/2023,Hacking/IT Incident,Network Server,No,2023
"Valley Care Home Health Services, Inc.",CA,Healthcare Provider,2674,25/01/2023,Theft,Other Portable Electronic Device,No,2023
"AppleCare, LLC",GA,Healthcare Provider,512,23/01/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,2023
"Peachtree Immediate Care FP, LLC",GA,Healthcare Provider,2555,23/01/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,2023
City of Cleveland,OH,Health Plan,15206,20/01/2023,Unauthorized Access/Disclosure,Network Server,No,2023
DCH Health System,AL,Healthcare Provider,2530,20/01/2023,Unauthorized Access/Disclosure,Desktop Computer,No,2023
"Chico Immediate Care Medical Center, Inc.",CA,Healthcare Provider,3780,19/01/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,2023
